order_number,item_purchased,price,quantity,category,mode of payment,seller_name,placed_on,shipped_on,delivered_on,courier,location,discount_type,free_shipping,refund_status,refund_reason
918490655611266,Cilantro,24.00,1,Garden maintenace,Credit Card,Garden Avenue,11/7/2024,11/7/2024,11/8/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
918490655611266,Red onion,18.00,1,Garden maintenace,Credit Card,Garden Avenue,11/7/2024,11/7/2024,11/8/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
918490655611266,Pure cocopeat,81.00,3,Garden maintenace,Credit Card,Garden Avenue,11/7/2024,11/7/2024,11/8/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
918490655311266,Green sacks 10pcs,170.00,2,House Maintenace,Credit Card,JLJ Gen. Merchandise,11/7/2024,11/8/2024,11/12/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
918490656611266,Jumbo mop,217.10,1,House Maintenace,Credit Card,Jumbo Mall,11/7/2024,11/8/2024,11/9/2024,Flash express PH,"Magallanes, Cavite",Coins and voucher,Yes ,N/A,N/A
924337905611266,Rat killer reppelent,168.26,1,Car maintenace,Credit Card,Graywell,11/7/2024,11/6/2024,11/7/2024,J&T Express PH,"Magallanes, Cavite",Coins,Yes,N/A,N/A
915131048311266,Hepa filter,191.77,1,Pasabuy,Paylater,123 Baby,11/7/2024,10/30/2024,10/31/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,Yes,Physical damaged
915131048311266,Air purifier,623.68,1,Pasabuy,Paylater,123 Baby,11/7/2024,10/30/2024,10/31/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
915131048311266,Electronic Protection,38.94,1,Pasabuy,Paylater,123 Baby,11/5/2024,10/30/2024,10/31/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
919843774911266,Foldable storage box,120.00,1,Personal use,Credit Card,Kx_Homeliving,10/30/2024,10/25/2024,10/27/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
919843774911266,Pizza pan,70.00,2,Kitchen,Credit Card,Kx_Homeliving,10/30/2024,10/25/2024,10/27/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
91984377411266,Nail Gun,653.76,1,House Maintenace,Paylater,Gift Mega Explorer,10/30/2024,10/25/2024,10/27/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
911483870311266,Waterproof tape,136.00,2,House Maintenace,Credit Card,Love shopping,10/25/2024,10/22/2024,10/23/2024,J&T Express PH,"Magallanes, Cavite",Coins and voucher,Yes,N/A,N/A
